Nodes;Addjested Nodes
614475822;{3548011012,3421860756,5263943831,}
614475823;{4309108331,3554641885,3426778771,}
667930541;{3932478176,667930546,3932478174,919345782,}
667930543;{667930547,3372800257,4988394007,}
667930545;{667930546,919345710,}
667930546;{667930541,667930545,}
667930547;{3372800242,667930543,3372800258,}
667930549;{3932478171,919345700,2885089098,4991141161,3932478169,}
667930568;{667930572,919345700,}
667930572;{667930574,667930568,}
667930574;{667930576,667930572,}
667930576;{667930578,667930574,}
667930578;{919345701,667930576,}
667930583;{667930609,667930584,2940218607,}
667930584;{919345702,667930583,}
667930587;{243340880,919345702,}
667930589;{667930590,919345722,}
667930590;{667930591,667930589,}
667930591;{667930592,667930590,}
667930592;{667930594,667930591,}
667930594;{667930592,3932478174,4991141161,}
667930603;{667930607,919345698,}
667930607;{919345699,667930603,}
667930609;{667930583,919345699,}
667934417;{704766461,667937688,2463800582,2463750271,}
667934419;{704766542,667934420,704766546,}
667934420;{667934419,704766503,704766530,704766449,}
667934421;{704766463,2477526489,1404303524,}
667934443;{1383339031,1468169751,667935659,}
667934444;{704766485,703364808,1823090042,}
667934445;{704766432,704766480,704766470,704766427,}
667934449;{704623019,4991141164,4701613667,}
667934451;{2063034096,5373058950,2063034110,5373058949,5373058953,}
667934452;{4146077848,1913016303,1913016286,}
667934465;{1887791307,4185307692,2885041286,}
667934466;{1913016305,5057716120,704766502,1913016307,}
667934477;{704766433,1954691988,704766483,}
667934479;{667934481,1913016286,704766565,}
667934481;{704766433,667934479,}
667934581;{3588534015,309991281,3588534011,}
667934582;{4701284630,4701284627,4701284632,1468169765,}
667935608;{1400239229,1400239243,1875565024,}
667935617;{3634545713,1400261985,}
667935623;{704623041,1400262012,885718640,}
667935659;{4524583860,667934443,}
667935666;{5261973818,667935669,5261973814,}
667935669;{667935672,667935666,}
667935672;{667935674,667935669,}
667935674;{667935675,667935672,}
667935675;{667935676,667935674,}
667935676;{5261973812,667935675,}
667937685;{2463782126,2463778626,}
667937686;{2463750294,667937692,}
667937688;{2477526492,667934417,3623629330,}
667937692;{2304040896,2463778626,667937686,}
667937740;{2463782139,2463782143,4273414894,}
667937747;{1666932792,2463782143,2463782144,}
694226129;{3541796917,1902293827,}
702151906;{702151920,702151925,1941387628,595730969,}
702151907;{3707900889,3707900884,3707900888,}
702151911;{702151920,3728201866,1941387628,}
702151913;{3515677090,3977679588,2931791048,2931791062,}
702151915;{3389158267,3529442527,}
702151917;{3545601491,702151924,2821049733,2821049745,}
702151920;{3545346465,702151906,4625169562,702151911,3728201864,}
702151924;{702151917,3389158267,2821049723,2821049724,}
702151925;{3515130217,702151906,1941387580,}
702151927;{3707893056,1212292799,}
702241594;{2601042109,1847186636,1847186657,}
702241596;{965928453,965928477,702292676,}
702241597;{919415042,919415037,}
702241598;{702241670,919414976,2415873223,}
702241599;{391425638,1954543734,}
702241600;{2965640787,4583679861,3471698151,}
702241601;{1324542183,4970274611,702241616,3515643235,}
702241602;{1860265776,4359233637,}
702241603;{919414935,919414931,702241627,}
702241604;{702241667,702241629,}
702241605;{3451465833,3451465834,4359233659,}
702241606;{4970274614,702241609,4970276131,702241676,}
702241607;{960245540,}
702241608;{3510916134,3510916137,3510910256,}
702241609;{702241606,965827463,4970276134,702241671,}
702241610;{702241679,1966645671,2982540206,3515677015,}
702241611;{1580737524,3451035269,5298860820,}
702241612;{3450013885,3450013890,}
702241614;{702241658,1865765803,}
702241615;{919414981,919414938,}
702241616;{3510905844,956660686,702241601,}
702241617;{1847186651,702241659,}
702241618;{5323908909,702241625,}
702241620;{1847186647,1579345937,}
702241621;{3471678627,1897900102,3471679118,}
702241622;{956660663,5000702823,}
702241623;{919415143,1860265795,}
702241625;{3534439247,3510916137,702241618,702241661,}
702241626;{702241645,1860265788,}
702241627;{702241603,919414947,}
702241628;{702241649,919415071,}
702241629;{702241604,1860265790,}
702241631;{702241653,919415042,}
702241632;{919415144,919415143,}
702241633;{919414946,919414913,4359233637,}
702241634;{1579345938,1847186651,}
702241636;{702241637,1847186668,3450415484,}
702241637;{1847186642,702241636,2601042127,}
702241638;{703447260,703447249,1941387604,1730818258,}
702241639;{702241659,1847186647,}
702241640;{702241671,702241648,1941387631,3728201866,}
702241641;{3738650816,595742604,3523560461,}
702241642;{919415145,919415144,}
702241643;{3093099599,919414971,}
702241645;{919414979,702241626,}
702241646;{3534942959,1954543734,4125334724,4126780925,}
702241647;{702241666,919414981,}
702241648;{3515677015,702241640,3984572124,1945938234,}
702241649;{919415079,702241628,}
702241650;{919415028,391425628,919414917,}
702241651;{3379404727,2984391416,}
702241652;{702241655,3450125122,3450018356,1580737521,}
702241653;{919415054,702241631,}
702241655;{1580737520,702241652,}
702241656;{494779279,702256681,}
702241657;{595750928,702241663,}
702241658;{919414915,702241614,}
702241659;{1968393298,702241617,702241639,3450420201,}
702241660;{391426116,919414938,}
702241661;{956660680,5298865722,702241625,5298865726,}
702241663;{702241657,3527232470,3515643272,}
702241664;{3451903822,919414914,1865765814,}
702241665;{4110942646,1954543730,702256716,4110942647,}
702241666;{919414931,702241647,}
702241667;{919414917,702241604,}
702241668;{919415034,702241680,4359233624,}
702241670;{702241598,919415147,}
702241671;{702241609,702241676,702241640,}
702241672;{919414947,919414943,}
702241675;{3451465832,919414945,919414957,}
702241676;{702241606,3527232470,702241671,}
702241677;{919415015,391425630,}
702241678;{2601042129,1847186630,2601042125,}
702241679;{702241610,2821049724,2982540141,}
702241680;{702241668,919415015,}
702241681;{2965640771,494779285,}
702241682;{3450018296,3450018303,}
702241683;{5323908903,5323908895,}
702241684;{919415082,919415006,1860265780,}
702256672;{5376837930,1823087568,}
702256673;{3534940592,3534942727,3607895579,}
702256674;{4312541217,3430127141,4312528331,}
702256676;{1966380885,4812819082,702256699,702256688,}
702256677;{4312541212,702256722,1859795935,}
702256678;{1376818474,1887921764,703969982,1887921917,}
702256679;{2209519698,4312528317,705465886,4142173321,}
702256681;{702241656,3534940542,}
702256683;{494779232,4331972984,4341214748,}
702256685;{5376837922,1966380885,3523463727,3523463543,}
702256686;{4162510957,4118865214,3533566398,}
702256687;{3648933923,3738650800,3648934592,4354066966,}
702256688;{3738650800,5376837852,5376837841,702256676,}
702256690;{3397775516,4312541217,4142173322,}
702256692;{1887921764,391425807,1887921451,}
702256693;{4281121434,3886102942,1966380884,4990838969,}
702256694;{702256706,4117135272,}
702256697;{4143923176,4142173290,}
702256699;{595742584,702256676,3648934591,}
702256700;{4315461190,3519183921,3519272535,}
702256702;{702270383,3648933923,1902293810,3648933910,}
702256703;{4105622378,4105623993,}
702256704;{3534942727,705314175,}
702256706;{705465886,702256694,}
702256707;{2924558456,4162510959,4162510968,4319677706,}
702256708;{5071674130,3519273465,702256725,}
702256712;{705314189,4142173292,4117135272,}
702256713;{3607454843,4315459587,3519273465,}
702256715;{1902293810,1882930728,}
702256716;{3534942708,702241665,}
702256717;{703969988,703969961,5360020999,5375098236,}
702256718;{703754807,3428438541,}
702256722;{4312541213,4507737902,702256677,}
702256723;{4315444125,5071674130,4315444124,4315444123,}
702256724;{4142173308,4142173313,}
702256725;{702256708,4118865214,3533559281,}
702256726;{1952456438,1861224963,5375098271,494779312,}
702270376;{1411580520,3607895321,3409912462,}
702270378;{3426778768,1966582740,3421860757,}
702270379;{4884845132,3421860750,}
702270380;{3397011827,1966582743,702270391,}
702270382;{1877362672,3397011827,702270385,}
702270383;{3554644756,702256702,}
702270384;{4308449594,4162513899,4422968890,}
702270385;{702270382,3405675665,4884845132,}
702270386;{3421860756,2293619078,}
702270387;{3547753179,614475821,5263943831,}
702270388;{702270389,3371673131,3405984873,}
702270389;{702270388,1882004879,494779232,}
702270391;{702270380,3405984881,3405675665,}
702270392;{4315444125,}
702292638;{1214196339,1214196302,703777307,702292716,}
702292651;{702292674,702292703,}
702292652;{3519100600,702292678,3519100603,}
702292653;{1581621000,391426404,1214196358,}
702292655;{3519100406,1203349108,}
702292657;{1945878900,3400369533,5291609513,3400369532,3409225885,}
702292659;{1579345907,702292707,3431898361,702292685,}
702292661;{3409225861,1936670764,3844250683,}
702292662;{1985950769,702292679,3427106477,}
702292664;{1820875545,1667341524,}
702292668;{702292687,702292717,}
702292670;{4127377161,4127370761,}
702292671;{1945878899,1895880141,391426412,}
702292672;{702292691,4178185368,}
702292673;{702292695,5413433733,5413433736,}
702292674;{702292708,702292651,}
702292675;{1945878897,1579345907,}
702292676;{3519100443,702241596,702292699,}
702292677;{1667341520,1846058689,}
702292678;{74659540,74659551,702292652,}
702292679;{1895816719,702292662,}
702292680;{702292696,3519100406,}
702292681;{4126780942,4128352800,4126780944,5295506504,}
702292682;{2971189991,2971189983,2971189988,}
702292683;{3519100610,}
702292684;{702292705,702292687,}
702292685;{702292659,3434939472,702292693,1579345908,}
702292686;{3434939481,1941124814,702292714,}
702292687;{702292703,702292668,702292684,}
702292688;{1945878897,1968193821,1895880141,}
702292689;{1895207751,1667341522,}
702292690;{702292711,3519100600,3519100482,}
702292691;{4072057624,702292672,}
702292692;{1945878908,1579345904,}
702292693;{1945878909,702292685,}
702292694;{702292721,3427106480,702292704,}
702292695;{3296110115,5413433739,702292673,3423512612,}
702292696;{702292717,702292680,}
702292697;{4127370714,2293619074,4127370721,}
702292698;{3423512620,2971189983,5413433752,}
702292699;{3519100610,702292676,}
702292701;{1895816721,1895816719,}
702292702;{4069487730,3397081011,1936618792,3397081010,}
702292703;{702292651,702292687,}
702292704;{1579345904,3427106481,702292694,3428961356,1579345905,}
702292705;{702292718,702292684,}
702292706;{1667341518,1846058720,}
702292707;{702292659,1945878908,}
702292708;{702292674,703826730,703826646,}
702292709;{3427106477,1579345901,}
702292710;{1918910961,1895217713,1820875556,}
702292711;{1203349108,702292690,}
702292714;{3434939474,702292686,3439438190,}
702292715;{1579345905,1945878909,}
702292716;{3495297343,702292638,3844279370,}
702292717;{702292668,702292696,}
702292718;{702292705,}
702292720;{1214196340,1936670769,1214196299,}
702292721;{3431898361,2971191645,702292694,}
703222274;{3020364769,3020364768,}
703222278;{703222290,703222280,}
703222279;{1545440621,703222290,}
703222280;{706576583,703222278,703222282,}
703222282;{703222280,703222284,}
703222283;{3020364768,3020364767,}
703222284;{703222282,703222288,}
703222286;{706576594,1545440621,}
703222288;{703222284,2017027213,}
703222290;{703222279,703222278,}
703364621;{703364666,703364853,}
703364626;{703364727,2463860778,}
703364633;{3750109720,3750109699,}
703364634;{3652735084,3651423587,}
703364635;{2463860795,4285769135,}
703364636;{703364853,2885089283,}
703364645;{703364858,2463860781,}
703364647;{4207716378,3726009452,}
703364649;{4262629637,703364880,4988595414,}
703364653;{4285769088,4285769084,}
703364657;{3726009527,3726009556,}
703364659;{703364751,703364887,}
703364664;{703364735,703364865,}
703364666;{703364696,703364621,}
703364668;{4285769119,2463860793,}
703364670;{2327224056,2063034191,2063034193,4701422983,4701422979,}
703364673;{3726009471,3726009465,}
703364675;{2463860797,703364704,}
703364677;{703364785,2967301567,}
703364681;{4285769066,4285769060,}
